JobID | Start Date           | End Date             | Exit Status
42892 |   00:59:22 - 02/June |   04:08:50 - 02/June | COMPLETED: 0
42893 |   01:01:10 - 02/June |   03:36:59 - 02/June | COMPLETED: 0
42894 |   01:10:55 - 02/June |   01:11:00 - 02/June | COMPLETED: 1
42895 |   01:16:02 - 02/June |   01:16:05 - 02/June | COMPLETED: 1
42896 |   01:29:25 - 02/June |   01:29:27 - 02/June | COMPLETED: 1
42897 |   01:30:12 - 02/June |   01:30:14 - 02/June | COMPLETED: 1
42902 |   04:15:50 - 02/June |   10:01:32 - 02/June | COMPLETED: 0
42905 |   09:18:49 - 02/June |   14:50:45 - 02/June | COMPLETED: 0
42906 |   09:23:40 - 02/June |                    - | FAILED    
42910 |   10:32:00 - 02/June |   11:34:04 - 02/June | COMPLETED: 0
42911 |   11:07:45 - 02/June |   14:21:05 - 05/June | COMPLETED: 0
42912 |   11:13:00 - 02/June |   12:57:18 - 03/June | COMPLETED: 0
42913 |   11:59:09 - 02/June |   05:51:04 - 03/June | COMPLETED: 0
42914 |   12:53:02 - 02/June |                    - | FAILED    
42915 |   13:52:40 - 02/June |                    - | FAILED    
42916 |   14:21:24 - 02/June |   22:47:04 - 02/June | COMPLETED: 0
42917 |   14:25:43 - 02/June |   14:32:41 - 02/June | COMPLETED: 0
42918 |   14:28:18 - 02/June |   15:38:43 - 02/June | COMPLETED: 0
42919 |   14:46:33 - 02/June |   15:48:39 - 02/June | COMPLETED: 0
42920 |   14:49:34 - 02/June |   14:51:24 - 02/June | COMPLETED: 1
42921 |   14:54:32 - 02/June |   14:56:23 - 02/June | COMPLETED: 1
42922 |   15:05:21 - 02/June |                    - | FAILED    
42923 |   15:31:46 - 02/June |   15:33:09 - 02/June | COMPLETED: 0
42924 |   15:50:11 - 02/June |                    - | FAILED    
42925 |   15:53:38 - 02/June |   20:04:21 - 02/June | COMPLETED: 0
42927 |   16:44:16 - 02/June |   16:45:25 - 02/June | COMPLETED: 0
42928 |   16:58:13 - 02/June |   16:59:39 - 02/June | COMPLETED: 0
42929 |   17:02:32 - 02/June |   17:03:35 - 02/June | COMPLETED: 0
42930 |   17:07:29 - 02/June |   17:08:32 - 02/June | COMPLETED: 0
42931 |   17:10:17 - 02/June |   17:10:33 - 02/June | COMPLETED: 0
42932 |   17:12:33 - 02/June |   17:13:27 - 02/June | COMPLETED: 0
42933 |   17:23:58 - 02/June |   17:24:53 - 02/June | COMPLETED: 0
42934 |   17:48:44 - 02/June |   17:50:07 - 02/June | COMPLETED: 0
42935 |   17:51:18 - 02/June |                    - | FAILED    
42936 |   17:53:49 - 02/June |   17:54:07 - 02/June | COMPLETED: 0
42937 |   20:40:14 - 02/June |   20:41:36 - 02/June | COMPLETED: 0
42938 |   20:44:14 - 02/June |   00:05:12 - 03/June | COMPLETED: 3
42939 |   20:45:38 - 02/June |   20:46:03 - 02/June | COMPLETED: 0
42941 |   00:01:42 - 03/June |   00:02:39 - 03/June | COMPLETED: 0
42942 |   00:24:13 - 03/June |   00:25:07 - 03/June | COMPLETED: 0
42943 |   00:37:49 - 03/June |                    - | FAILED    
